t,x
17.859,-2.858
17.892,-2.158
17.925,-1.433
17.959,-0.521
17.992,0.154
18.025,1.50E-02
18.059,0.716
18.092,1.345
18.125,1.885
18.159,2.325
18.192,2.564
18.225,2.863
18.259,2.865
18.292,2.84
18.325,2.7
18.358,2.374
18.392,1.998
18.425,1.464
18.458,0.855
18.492,0.155
18.525,-0.569
18.558,-1.316
18.592,-2.11
18.625,-2.743
18.658,-3.419
18.692,-4.024
18.725,-4.61
18.758,-4.375
18.792,-4.586
18.825,-4.868
18.858,-4.913
18.892,-4.89
18.925,-4.66
18.958,-4.331
18.992,-3.821
19.025,-3.35
19.058,-2.741
19.092,-2.041
19.125,-2.416
19.158,-1.808
19.191,6.07E-02
19.225,0.763
19.258,1.439
19.291,1.065
19.325,1.859
19.358,2.163
19.391,3.447
19.425,3.682
19.458,3.8
19.491,2.934
19.525,2.956
19.558,2.653
19.591,3.071
19.625,2.603
19.658,2.043
19.691,1.391
19.725,0.434
19.758,-0.313
19.791,-1.503
19.825,-2.252
19.858,-2.929
19.891,-3.558
19.925,-4.113
19.958,-4.57
19.991,-4.867
20.025,-5.125
20.058,-5.263
20.091,-5.262
20.124,-4.961
20.158,-4.634
20.191,-4.61
20.224,-4.165
20.258,-3.583
20.291,-2.951
20.324,-1.878
20.358,-1.223
20.391,-0.59
20.424,0.178
20.458,0.857
20.491,1.556
20.524,1.696
20.558,1.696
20.591,2.118
20.624,2.396
20.658,2.586
20.691,2.663
20.724,2.613
20.757,2.435
20.791,2.146
20.824,1.745
20.857,1.253
20.891,0.667
20.924,1.89E-02
20.957,-0.688
20.991,-1.387
21.024,-2.11
21.057,-2.836
21.091,-3.512
21.124,-4.098
21.157,-4.634
21.191,-5.101
21.224,-5.45
21.257,-5.614
21.291,-5.729
21.324,-4.447
21.357,-4.282
21.391,-5.054
21.424,-3.607
21.457,-3.118
21.491,-3.746
21.524,-1.951
21.557,-2.415
21.591,-1.877
21.691,1.481
21.724,2.046
21.757,2.56
21.79,2.98
21.824,3.332
21.857,3.586
21.89,3.726
21.924,3.729
21.957,3.633
21.99,3.399
22.024,3.074
22.057,2.654
22.09,2.12
22.124,1.53
22.157,0.878
22.19,0.204
22.224,-0.499
22.257,-1.388
22.29,-2.04
22.324,-2.627
22.357,-3.21
22.39,-3.676
22.424,-4.048
22.457,-4.308
22.49,-4.468
22.524,-4.494
22.557,-4.421
22.59,-4.212
22.624,-3.908
22.657,-4.306
22.69,-3.021
22.723,-2.461
22.757,-1.837
22.79,-1.18
22.823,-0.519
22.857,0.132
22.89,0.778
22.923,1.385
22.957,1.936
22.99,2.42
23.023,2.796
23.057,2.747
23.09,2.655
23.123,2.77
23.157,2.771
23.19,3.004
23.223,2.653
23.257,2.303
23.29,1.859
23.323,1.299
23.357,0.738
23.39,0.108
23.423,-0.64
23.456,-1.48
23.49,-1.924
23.523,-2.812
23.556,-3.396
23.59,-3.582
23.623,-3.958
23.656,-4.703
23.69,-4.914
23.723,-5.007
23.756,-5.006
23.79,-4.844
23.823,-4.099
23.856,-3.774
23.89,-3.489
23.923,-3.255
23.956,-2.648
23.99,-1.994
24.023,-1.339
24.056,-0.245
24.09,0.385
24.123,0.692
24.156,1.439
24.19,1.976
24.224,2.443
24.256,2.747
24.289,3.19
24.323,3.12
24.356,3.051
24.389,2.981
24.423,2.793
24.457,2.491
24.489,2.093
24.523,1.603
24.558,1.043
24.589,0.48
24.623,-0.241
24.656,-0.919
24.689,-1.504
24.723,-2.111
24.756,-2.438
24.791,-2.93
24.823,-3.606
24.856,-4.05
24.892,-4.236
24.923,-4.283
24.956,-4.423
24.989,-4.19
25.023,-4.213
25.056,-4.003
25.089,-3.629
25.123,-3.136
25.156,-2.601
25.189,-1.995
25.223,-1.385
25.257,-0.802
25.289,-9.69E-02
25.323,0.532
25.356,1.205
25.389,1.812
25.423,2.097
25.456,2.562
25.489,2.981
25.523,3.255
25.556,3.308
25.589,3.284
25.622,3.004
25.656,2.796
25.689,2.482
25.722,2
25.756,1.442
25.789,0.975
25.822,0.366
25.856,-0.264
25.889,-0.942
25.922,-1.551
25.956,-2.203
25.989,-2.718
26.022,-3.228
26.056,-3.627
26.089,-3.929
26.122,-4.141
26.155,-4.267
26.189,-4.258
26.222,-4.144
26.255,-3.937
26.289,-3.678
26.322,-3.257
26.355,-2.777
26.389,-2.249
26.422,-1.664
26.455,-0.945
26.489,-0.268
26.522,0.342
26.555,0.926
26.589,1.597
26.622,2.109
26.655,2.486
26.689,2.883
26.722,3.096
26.755,3.26
26.789,3.237
26.822,3.167
26.855,3.003
26.889,2.746
26.922,2.467
26.955,1.998
26.988,1.439
27.022,0.644
27.055,0.155
27.088,-0.383
27.122,-0.943
27.155,-1.55
27.188,-2.205
27.222,-2.905
27.288,-3.722
27.322,-3.956
27.355,-4.096
27.388,-4.05
27.422,-4.189
27.455,-3.84
27.488,-3.582
27.522,-3.466
27.555,-3.092
27.588,-2.602
27.621,-2.018
27.655,-1.27
27.688,-0.943
27.722,-0.336
27.755,0.25
27.788,0.812
27.822,1.333
27.855,1.883
27.888,2.49
27.921,2.836
27.955,3.027
27.988,2.679
28.021,2.679
28.055,2.561
28.088,2.676
28.121,2.023
28.155,1.534
28.188,1.508
28.221,0.598
28.255,0.385
28.288,-0.266
28.321,-0.873
28.355,-1.69
28.388,-2.064
28.421,-2.975
28.454,-3.045
28.488,-3.909
28.521,-4.166
28.555,-4.235
28.588,-4.143
28.621,-4.517
28.654,-4.516
28.688,-4.33
28.721,-4.073
28.754,-3.723
28.788,-3.302
28.821,-2.812
28.854,-2.251
28.888,-1.693
28.921,-1.13
28.954,-0.149
28.988,0.388
29.021,0.878
29.054,1.461
29.088,1.877
29.121,2.185
29.154,2.396
29.188,2.514
29.221,2.537
29.254,2.256
29.288,2.023
29.321,1.859
29.354,1.416
29.388,1.042
29.421,0.226
29.454,5.98E-02
29.488,-0.85
29.521,-1.136
29.554,-1.737
29.587,-1.643
29.621,-2.158
29.654,-2.627
29.687,-3.045
29.721,-3.373
29.754,-3.627
29.787,-3.771
29.821,-3.817
29.854,-3.789
29.887,-3.652
29.921,-3.417
29.954,-3.111
29.987,-2.743
30.021,-2.252
30.054,-1.784
30.087,-1.223
30.121,-0.687
30.154,-0.148
30.187,0.434
30.221,0.948
30.254,1.416
30.287,1.814
30.321,2.145
30.354,2.419
30.387,2.584
30.421,2.656
30.454,2.639
30.487,2.56
30.52,2.697
30.554,2.397
30.587,1.924
30.62,1.552
30.654,1.088
30.687,0.527
30.72,-3.65E-02
30.754,-0.617
30.787,-1.184
30.82,-1.739
30.854,-2.234
30.887,-2.697
30.92,-3.073
30.954,-3.372
30.987,-3.589
31.02,-3.717
31.054,-4.517
31.087,-4.447
31.12,-4.286
31.153,-4.049
31.187,-3.725
31.22,-3.489
31.253,-3.021
31.287,-2.485
31.32,-1.925
31.354,-1.386
31.387,-0.826
31.42,-0.29
31.453,0.206
31.487,0.648
31.521,1.018
31.554,1.321
31.587,1.577
31.62,1.719
31.653,1.743
31.687,1.696
31.72,1.542
31.753,1.297
31.787,0.971
31.82,0.575
31.854,0.132
31.887,-0.38
31.921,-0.897
31.953,-1.455
31.987,-1.992
32.02,-2.504
32.053,-2.978
32.087,-2.649
32.12,-2.999
32.153,-3.327
32.186,-3.56
32.221,-3.722
32.253,-3.886
32.286,-3.839
32.32,-3.724
32.353,-3.628
32.389,-3.396
32.42,-2.928
32.453,-2.486
32.486,-2.158
32.52,-1.625
32.553,-1.109
32.588,-0.594
32.62,-9.00E-02
32.653,0.382
32.686,0.806
32.72,1.205
32.753,2.21
32.786,2.466
32.82,2.65
32.853,2.72
32.886,2.678
32.919,2.561
32.953,2.374
32.986,2.094
33.019,1.717
33.053,1.32
33.086,0.809
33.12,-0.78
33.153,-0.266
33.186,-0.803
33.219,-1.316
33.253,-1.761
33.286,-2.18
33.319,-2.601
33.353,-3.044
33.386,-3.302
33.42,-3.512
33.453,-3.51
33.486,-3.558
33.519,-3.513
33.553,-3.394
33.587,-3.186
33.619,-2.882
33.653,-2.483
33.686,-2.064
33.719,-2.276
33.753,-0.873
33.786,-1.387
33.819,-0.85
33.852,-0.406
33.886,6.41E-02
33.919,0.505
33.952,0.832
33.986,1.088
34.019,1.297
34.052,1.393
34.086,1.414
34.119,1.346
34.152,1.181
34.186,0.974
34.219,0.972
34.252,0.599
34.286,0.131
34.319,-0.336
34.352,-0.102
34.386,-1.387
34.452,-2.578
34.486,-2.789
34.519,-3.186
34.552,-2.929
34.586,-3.933
34.619,-4.12
34.652,-4.26
34.686,-4.307
34.719,-4.398
34.752,-4.238
34.786,-4.004
34.819,-3.721
34.852,-3.35
34.885,-2.04
34.919,-1.599
34.952,-1.137
34.985,-0.666
35.019,-0.219
35.052,-0.24
35.085,0.715
35.119,1.155
35.152,1.275
35.185,1.439
35.218,1.625
35.252,1.696
35.285,2.116
35.319,1.976
35.352,1.883
35.385,1.324
35.419,1.021
35.452,1.042
35.485,0.667
35.519,0.201
35.552,-0.29
35.585,-0.807
35.618,-1.714
35.652,-1.855
35.685,-2.324
35.718,-2.134
35.752,-2.508
35.785,-2.837
35.818,-3.094
35.852,-3.255
35.885,-3.328
35.918,-3.345
35.952,-3.255
35.985,-3.092
36.018,-2.859
36.052,-2.554
36.085,-2.185
36.118,-1.762
36.152,-1.317
36.185,-0.874
36.218,-0.382
36.251,8.38E-02
36.285,0.527
36.318,0.947
36.351,1.324
36.385,1.648
36.418,1.905
36.451,2.07
36.485,2.168
36.518,2.185
36.551,2.129
36.585,1.998
36.618,1.788
36.651,1.537
36.685,1.183
36.718,0.808
36.751,0.344
36.785,-0.102
36.818,-0.5
36.851,-1.038
36.885,-2.391
36.918,-1.83
36.951,-2.205
36.985,-2.601
37.018,-2.858
37.051,-3.067
37.085,-3.207
37.118,-3.255
37.151,-3.258
37.185,-3.142
37.218,-2.969
37.251,-2.719
37.285,-2.438
37.318,-3.138
37.351,-2.693
37.384,-2.251
37.418,-1.784
37.451,-1.334
37.484,-0.849
37.518,-0.359
37.551,-6.68E-03
37.584,0.348
37.651,0.864
37.684,0.999
37.718,1.068
37.751,1.053
37.784,0.958
37.818,0.782
37.851,0.533
37.884,0.229
37.918,-0.132
37.951,-0.535
37.984,-0.967
38.017,-1.423
38.051,-1.271
38.084,-1.783
38.117,-2.228
38.151,-2.649
38.184,-3.022
38.218,-3.349
38.251,-3.56
38.284,-3.769
38.317,-3.884
38.351,-3.885
38.384,-3.816
38.417,-3.674
38.451,-3.464
38.484,-3.163
38.517,-2.833
38.551,-2.414
38.584,-1.997
38.617,-1.549
38.651,-1.06
38.684,-0.615
38.717,-0.149
38.751,0.271
38.784,0.645
38.817,0.973
38.851,1.205
38.884,1.439
38.917,1.508
38.95,1.579
38.984,1.532
39.017,1.415
39.05,1.228
39.084,0.973
39.117,0.645
39.15,0.316
39.184,-8.06E-02
39.217,-0.545
39.25,-0.946
39.284,-1.481
39.317,-1.876
39.35,-2.318
39.384,-2.649
39.417,-3.001
39.45,-3.255
39.484,-3.441
39.517,-3.584
39.551,-3.63
39.584,-3.63
39.617,-3.491
39.65,-3.325
39.684,-3.088
39.717,-2.763
39.751,-2.392
39.784,-1.435
39.817,-0.991
39.85,-0.547
39.884,-8.46E-02
39.917,0.342
39.95,0.76
