t,x
25.624,-1.264
25.657,-0.118
25.69,1.028
25.724,2.123
25.757,3.167
25.79,4.137
25.824,4.986
25.857,5.736
25.891,6.292
25.924,6.699
25.957,5.634
25.99,5.633
26.024,5.416
26.057,5.076
26.09,4.566
26.123,5.747
26.157,4.922
26.19,3.926
26.223,2.882
26.257,1.265
26.29,7.32E-02
26.323,-1.097
26.357,-2.244
26.39,-3.342
26.423,-4.297
26.457,-5.129
26.49,-5.188
26.523,-8.109
26.557,-8.524
26.59,-8.618
26.623,-8.547
26.657,-7.938
26.69,-7.837
26.723,-4.649
26.757,-4.481
26.79,-3.503
26.823,-2.428
26.857,-1.257
26.89,-6.16E-02
26.923,1.115
26.957,2.306
26.99,3.4
27.023,4.438
27.057,5.331
27.09,6.082
27.123,6.684
27.156,5.877
27.19,6.068
27.223,6.066
27.256,5.922
27.29,5.656
27.323,5.1
27.356,4.443
27.39,3.567
27.423,3.704
27.456,2.682
27.49,1.588
27.523,0.494
27.556,-0.65
27.59,-1.748
27.623,-2.774
27.656,-3.699
27.69,-4.502
27.723,-5.187
27.756,-7.286
27.79,-7.624
27.823,-7.738
27.856,-7.664
27.889,-7.396
27.923,-7.025
27.956,-6.48
27.99,-5.696
28.023,-4.465
28.056,-3.883
28.089,-2.69
28.123,-1.988
28.156,-0.744
28.189,0.978
28.223,2.267
28.256,3.239
28.289,4.135
28.323,4.764
28.356,4.698
28.389,4.981
28.423,5.56
28.456,5.882
28.489,5.919
28.523,5.015
28.556,5.156
28.589,4.474
28.623,3.255
28.656,2.252
28.689,1.599
28.722,0.525
28.756,-0.642
28.789,-1.764
28.822,-2.888
28.856,-3.964
28.889,-4.966
28.922,-5.798
28.956,-6.606
28.989,-7.612
29.022,-7.983
29.056,-8.227
29.089,-8.306
29.122,-8.128
29.156,-7.423
29.189,-6.832
29.222,-6.071
29.256,-4.65
29.289,-4.054
29.322,-2.475
29.356,-1.67
29.389,0.33
29.422,1.52
29.456,2.636
29.489,3.683
29.522,4.555
29.556,5.306
29.589,5.933
29.622,6.447
29.655,6.712
29.689,5.785
29.722,6.024
29.755,6.337
29.789,5.902
29.822,5.226
29.855,4.379
29.889,3.456
29.922,2.46
29.955,1.366
29.989,0.248
30.022,-0.908
30.055,-1.966
30.089,-3.126
30.122,-4.633
30.155,-5.543
30.189,-5.867
30.222,-6.553
30.255,-6.472
30.289,-7.411
30.322,-7.408
30.355,-7.101
30.389,-6.487
30.422,-5.948
30.455,-5.043
30.488,-4.601
30.522,-3.159
30.555,-1.796
30.588,-0.763
30.622,0.532
30.655,1.395
30.688,2.592
30.722,3.166
30.755,4.039
30.788,4.788
30.822,5.42
30.855,4.731
30.888,4.998
30.922,5.116
30.955,5.019
30.988,4.757
31.023,4.314
31.055,3.706
31.088,2.932
31.122,2.034
31.155,1.039
31.188,-3.22E-02
31.221,-1.177
31.255,-2.254
31.288,-3.354
31.321,-4.405
31.355,-5.384
31.388,-6.381
31.422,-7.165
31.455,-7.903
31.488,-7.779
31.521,-8.378
31.555,-8.403
31.588,-8.206
31.622,-7.791
31.655,-7.176
31.688,-6.367
31.721,-5.436
31.755,-4.381
31.789,-3.158
31.821,-1.987
31.855,0.302
31.888,1.446
31.921,2.538
31.955,3.556
31.988,4.502
32.021,5.719
32.054,6.284
32.088,4.988
32.121,5.252
32.154,6.664
32.188,6.54
32.221,6.251
32.255,5.791
32.288,5.234
32.321,4.553
32.354,3.704
32.388,2.782
32.421,1.762
32.454,0.691
32.488,-0.405
32.521,-1.477
32.557,-2.527
32.588,-3.505
32.621,-4.385
32.654,-5.14
32.688,-7.399
32.721,-7.914
32.755,-8.232
32.788,-8.341
32.821,-8.148
32.854,-7.658
32.888,-7.14
32.921,-6.402
32.955,-5.515
32.989,-4.437
33.021,-3.311
33.054,-2.147
33.087,-0.921
33.121,0.271
33.154,1.443
33.187,2.394
33.221,3.34
33.254,4.19
33.287,4.909
33.321,5.415
33.354,5.736
33.387,5.905
33.421,6.58
33.454,6.482
33.487,5.972
33.521,4.832
33.554,4.154
33.587,3.33
33.621,2.404
33.654,1.14
33.687,0.806
33.721,-0.415
33.754,-2.124
33.787,-3.126
33.821,-4.127
33.854,-4.963
33.887,-5.696
33.92,-6.049
33.954,-7.056
33.987,-7.325
34.02,-7.378
34.054,-7.226
34.087,-6.932
34.12,-6.369
34.154,-5.804
34.187,-5.02
34.22,-3.388
34.254,-2.365
34.287,-1.243
34.32,-9.74E-02
34.354,1.046
34.387,2.093
34.42,3.111
34.454,4.033
34.487,5.526
34.52,6.18
34.554,6.103
34.587,6.461
34.62,6.376
34.654,6.349
34.687,6.157
34.72,4.915
34.753,5.644
34.787,5.124
34.82,4.302
34.853,3.305
34.887,2.284
34.92,-0.434
34.953,-5.85E-02
34.987,-1.279
35.02,-2.403
35.053,-3.331
35.087,-6.176
35.12,-7.034
35.153,-7.179
35.187,-7.375
35.22,-7.642
35.253,-7.771
35.287,-8.154
35.32,-7.513
35.353,-6.881
35.387,-6.316
35.42,-5.802
35.453,-4.799
35.486,-3.674
35.52,-2.586
35.553,-1.357
35.586,-0.245
35.62,0.898
35.653,1.964
35.686,2.903
35.72,3.775
35.753,4.62
35.786,5.176
35.82,5.564
35.853,6.191
35.886,6.239
35.92,6.093
35.953,5.452
35.986,5.291
36.02,4.22
36.053,3.852
36.086,3.027
36.12,2.008
36.153,0.296
36.186,-0.309
36.22,-1.931
36.253,-2.932
36.286,-3.861
36.319,-4.694
36.353,-5.471
36.386,-7.275
