t,x
23.091,0.133
23.125,-0.708
23.158,-2.025
23.191,-2.818
23.224,-3.897
23.258,-5.432
23.291,-5.649
23.325,-6.32
23.358,-5.577
23.391,-5.265
23.424,-7.472
23.458,-7.424
23.491,-7.35
23.525,-7.134
23.591,-4.809
23.624,-3.969
23.658,-3.178
23.691,-1.619
23.724,-0.443
23.758,0.589
23.791,1.596
23.824,2.891
23.858,4.067
23.891,2.868
23.925,5.866
23.958,5.986
23.991,5.339
24.024,5.795
24.057,6.514
24.091,6.802
24.124,6.349
24.157,6.011
24.191,5.458
24.257,3.924
24.291,4.619
24.324,3.732
24.357,2.795
24.391,-0.322
24.424,0.468
24.457,-0.635
24.491,-1.762
24.524,-2.651
24.557,-3.585
24.591,-4.569
24.624,-6.849
24.657,-7.328
24.691,-5.863
24.724,-5.866
24.791,-6.755
24.824,-6.657
24.891,-3.658
24.924,-3.25
24.957,-2.338
24.99,-1.402
25.024,-0.394
25.057,1.597
25.09,2.556
25.124,3.611
25.157,5.075
25.19,5.89
25.224,6.49
25.257,5.866
25.29,5.723
25.324,6.132
25.357,7.906
25.39,6.754
25.457,5.555
25.524,4.115
25.557,2.988
25.59,3.755
25.624,2.796
25.657,2.219
25.69,-1.523
25.724,-0.515
25.757,-1.619
25.79,-2.098
25.857,-4.353
25.89,-6.825
25.923,-6.465
25.957,-7.28
25.99,-7.52
26.023,-7.377
26.057,-7.113
26.09,-6.586
26.157,-3.922
26.19,-3.346
26.223,-2.458
26.257,-1.523
26.29,0.853
26.323,-0.611
26.357,2.46
26.39,6.034
26.423,6.296
26.457,6.538
26.49,8.938
26.523,8.818
26.556,6.199
26.59,5.579
26.623,7.824
26.69,5.595
26.723,5.27
26.757,5.185
26.79,5.808
26.823,4.705
26.856,3.363
26.89,2.21
26.923,0.532
26.956,-0.667
26.99,-2.06
27.023,-1.532
27.056,-2.661
27.09,-3.74
27.123,-6.408
27.156,-6.665
27.19,-7.219
27.223,-5.947
27.256,-6.28
27.29,-7.574
27.323,-7.41
27.356,-6.812
27.423,-3.763
27.458,-2.923
27.49,-3.02
27.523,-2.082
27.556,-1.604
27.59,-0.332
27.623,3.074
27.689,4.61
27.726,5.137
27.756,6.214
27.789,6.528
27.823,5.378
27.856,5.645
27.889,5.811
27.923,8.136
27.956,5.771
27.989,5.352
28.023,6.672
28.089,4.515
28.124,3.506
28.156,1.778
28.189,0.51
28.223,-0.718
28.256,-4.57E-02
28.289,-1.58
28.323,-4.531
28.423,-5.97
28.456,-7.409
28.489,-6.089
28.556,-7.7
28.589,-7.243
28.622,-5.586
28.656,-5.106
28.689,-3.764
28.722,-2.804
28.756,-3.258
28.789,-0.764
28.822,-1.1
28.856,-0.428
28.922,3.267
28.956,4.058
28.989,5.255
29.022,5.98
29.056,4.756
29.089,5.213
29.122,7.656
29.189,6.938
29.222,7.819
29.256,7.272
29.289,6.482
29.322,5.543
29.355,4.489
29.389,3.29
29.422,1.708
29.455,0.484
29.489,1.108
29.522,-0.284
29.555,-1.531
29.589,-4.291
29.622,-5.226
29.655,-5.995
29.689,-5.18
29.722,-5.586
29.755,-5.226
29.789,-5.539
29.822,-7.62
29.922,-4.553
29.955,-5.418
29.988,-4.938
30.022,-1.892
30.089,0.603
30.122,0.939
30.155,2.068
30.222,2.427
30.255,3.362
30.288,3.987
30.322,4.609
30.355,7.225
30.388,7.417
30.422,7.009
30.455,6.793
30.488,6.433
30.522,5.929
30.555,5.234
30.588,3.987
30.622,3.938
30.655,2.403
30.688,1.755
30.722,0.796
30.755,0.7
30.788,-0.285
30.822,-1.556
30.855,-3.907
30.955,-5.25
30.988,-5.85
31.022,-5.61
31.055,-5.635
31.088,-5.922
31.122,-6.138
31.155,-5.948
31.188,-5.754
31.221,-5.006
31.255,-4.142
31.288,-3.159
31.321,-1.263
31.355,7.98E-02
31.388,-0.986
31.421,-5.00E-02
31.488,1.557
31.521,2.9
31.555,6.019
31.588,6.979
31.655,6.259
31.688,6.309
31.721,5.996
